""|"Repr&eacute;sentation fonctionnelle."|"D&eacute;crire sous forme sch&eacute;matique, le fonctionnement de l&apos;objet technique."|"1"|"1"|"3"
""|"Repr&eacute;sentation fonctionnelle."|"Associer &agrave; chaque bloc fonctionnel les composants r&eacute;alisant une fonction."|"2"|"1"|"3"
""|"Repr&eacute;sentation fonctionnelle."|"&eacute;tablir un croquis du circuit d&apos;alimentation &eacute;nerg&eacute;tique et un croquis du circuit informationnel d&apos;un objet technique."|"3"|"1"|"3"
""|"Contraintes( fonctionnement, s&eacute;curit&eacute;, esth&eacute;tique, ergonomie, d&eacute;veloppement durable.)"|"Mettre en relation des contraintes que l&apos;objet technique doit respecter et les solutions techniques retenues.(2)"|"2"|"1"|"3"
""|"Contraintes &eacute;conomiques : co&ucirc;t global. Identifier les &eacute;l&eacute;ments qui d&eacute;terminent le co&ucirc;t d&apos;un objet technique.(1)"|"1"|"1"|"3"
""|"Solution technique."|"Rechercher et d&eacute;crire plusieurs solutions techniques pour r&eacute;pondre &agrave; une fonction donn&eacute;e.(2)"|"2"|"1"|"3"
""|"Solution technique."|"Choisir et r&eacute;aliser une solution technique.(3)"|"3"|"1"|"3"
""|"Repr&eacute;sentation structurelle : mod&eacute;lisation du r&eacute;el (maquette,mod&egrave;les g&eacute;om&eacute;trique et num&eacute;rique)."|"Rechercher et s&eacute;lectionner un &eacute;l&eacute;ment dans une biblioth&egrave;que de constituants pour l&apos;int&eacute;grer dans une maquette num&eacute;rique.(3)"|"3"|"1"|"3"
""|"Repr&eacute;sentation structurelle : mod&eacute;lisation du r&eacute;el (maquette,mod&egrave;les g&eacute;om&eacute;trique et num&eacute;rique)."|"Cr&eacute;er une repr&eacute;sentation num&eacute;rique d&apos;un objet technique simple avec un logiciel de conception assist&eacute;e par ordinateur. (3)"|"3"|"1"|"3"
""|"Planification des activit&eacute;s."|"Cr&eacute;er et justifier tout ou partie d&apos;un planning.(2)"|"2"|"1"|"3"
""|"Propri&eacute;t&eacute;s des mat&eacute;riaux : (aspect physique,propri&eacute;t&eacute;s m&eacute;caniques,&eacute;lectriques,thermique, aptitude &agrave; la mise en forme)."|"Classer de mani&egrave;re qualitative plusieurs mat&eacute;riaux selon une propri&eacute;t&eacute; simple impos&eacute;e par les contraintes que doit satisfaire l&apos;objet technique.(3)"|"3"|"2"|"3"
""|"Propri&eacute;t&eacute;s des mat&eacute;riaux : (aspect physique,propri&eacute;t&eacute;s m&eacute;caniques,&eacute;lectriques,thermique, aptitude &agrave; la mise en forme)."|"Mettre en place et interpr&eacute;ter un essai pour mettre en &eacute;vidence une propri&eacute;t&eacute; &eacute;lectrique ou thermique donn&eacute;e.(2)"|"2"|"2"|"3"
""|"Propri&eacute;t&eacute;s des mat&eacute;riaux : (aspect physique,propri&eacute;t&eacute;s m&eacute;caniques,&eacute;lectriques,thermique, aptitude &agrave; la mise en forme)."|"V&eacute;rifier la capacit&eacute; de mat&eacute;riaux &agrave; satisfaire une propri&eacute;t&eacute; donn&eacute;e.(1)"|"1"|"2"|"3"
""|"Caract&eacute;ristiques &eacute;conomiques des mat&eacute;riaux : co&ucirc;t, valorisation (au sens de l&apos;&eacute;cologie)."|"Mettre en relation le choix d&apos;un mat&eacute;riau pour un usage donn&eacute;, son co&ucirc;t et sa capacit&eacute; de valorisation.(2)"|"2"|"2"|"3"
""|"Efficacit&eacute; &eacute;nerg&eacute;tique."|"Comparer les quantit&eacute;s d&apos;&eacute;nergie consomm&eacute;e par deux objets techniques.(2)"|"2"|"3"|"3"
""|"Efficacit&eacute; &eacute;nerg&eacute;tique."|"Indiquer la nature des &eacute;nergies utilis&eacute;es pour le fonctionnement de l&apos;objet technique.(2)"|"2"|"3"|"3"
""|"Gestion de l&apos;&eacute;nergie, r&eacute;gulation."|"Identifier dans la cha&icirc;ne de l&apos;&eacute;nergie les composants qui participent &agrave; la gestion de l&apos;&eacute;nergie et du confort.(1)"|"1"|"3"|"3"
""|"Adaptation aux besoins et &agrave; la soci&eacute;t&eacute;."|"Associer l&apos;utilisation d&apos;un objet technique &agrave; une &eacute;poque, &agrave; une r&eacute;gion du globe.(2)"|"2"|"4"|"3"
""|"Adaptation aux besoins et &agrave; la soci&eacute;t&eacute;."|Comparer les choix esth&eacute;tiques et ergonomiques d&apos;objets techniques d&apos;&eacute;poques diff&eacute;rentes.(2)"|"2"|"4"|"3"
""|"&eacute;volution des solutions techniques :(non-m&eacute;canis&eacute;es,m&eacute;canis&eacute;es,automatiques,informatis&eacute;es)."|"Rep&eacute;rer dans les &eacute;tapes de l&apos;&eacute;volution des solutions techniques la nature et l&apos;importance de l&apos;intervention humaine &agrave; c&ocirc;t&eacute; du d&eacute;veloppement de l&apos;automatisation.(2)"|"2"|"4"|"3"
""|"Cha&icirc;ne d&apos;informations.Cha&icirc;ne d&apos;&eacute;nergie."|"Rep&eacute;rer, &agrave; partir du fonctionnement d&apos;un syst&egrave;me automatique la cha&icirc;ne : d&apos;informations (acqu&eacute;rir, traiter,transmettre), d&apos;&eacute;nergie (alimenter, distribuer, convertir, transmettre).(1)"|"1"|"5"|"3"
""|"Cha&icirc;ne d&apos;informations.Cha&icirc;ne d&apos;&eacute;nergie."|"Identifier les &eacute;l&eacute;ments qui les composent.(1)"|"1"|"5"|"3"
""|"Forme du signal : information analogique, information num&eacute;rique."|"Identifier les modes et dispositifs d&apos;acquisition de signaux, de donn&eacute;es.(1)"|"1"|"5"|"3"
""|"Forme du signal : information analogique, information num&eacute;rique."|"Identifier la nature d&apos;une information et du signal qui la porte.(1)"|"1"|"5"|"3"
""|"Traitement du signal : algorithme, organigramme, programme."|"Identifier les &eacute;tapes d&apos;un programme de commande repr&eacute;sent&eacute; sous forme graphique.(1)"|"1"|"5"|"3"
""|"Traitement du signal : algorithme, organigramme, programme."|"Modifier la repr&eacute;sentation du programme de commande d&apos;un syst&egrave;me pour r&eacute;pondre &agrave; un besoin particulier et valider le r&eacute;sultat obtenu.(2)"|"2"|"5"|"3"
""|"Commande d&apos;un objet technique et logique combinatoire de base : ET, OU, NON."|"Identifier une condition logique de commande.(2)"|"2"|"5"|"3"
""|"Interface. Mode de transmission avec ou sans fil."|"Identifier les composants d&apos;une interface entre cha&icirc;ne d&apos;&eacute;nergie et cha&icirc;ne d&apos;informations (r&eacute;els ou objets graphiques virtuels).(2)"|"2"|"5"|"3"
""|"Transport du signal : (lumi&egrave;re, infrarouge, ondes : hertziennes, ultrasons, &eacute;lectrique)"|"Rep&eacute;rer le mode de transmission pour une application donn&eacute;e.(1)"|"1"|"5"|"3"
""|"Transport du signal : (lumi&egrave;re, infrarouge, ondes : hertziennes, ultrasons, &eacute;lectrique)"|"Associer un mode de transmission &agrave; un besoin donn&eacute;.(1)"|"1"|"5"|"3"
""|"Poste de travail – R&egrave;gles de s&eacute;curit&eacute;."|"Identifier et classer les contraintes de fonctionnement, d&apos;utilisation, de s&eacute;curit&eacute; du poste de travail.(2)"|"2"|"6"|"3"
""|"Poste de travail – R&egrave;gles de s&eacute;curit&eacute;."|"Organiser le poste de travail.(3)"|"3"|"6"|"3"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de fabrication : formes possibles, pr&eacute;cision accessible. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"&eacute;noncer les contraintes techniques li&eacute;es &agrave; la mise en oeuvre d&apos;un proc&eacute;d&eacute; de r&eacute;alisation.(2)"|"2"|"6"|"3"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de fabrication : formes possibles, pr&eacute;cision accessible. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"Mettre en relation des caract&eacute;ristiques g&eacute;om&eacute;triques d&apos;un &eacute;l&eacute;ment et son proc&eacute;d&eacute; de r&eacute;alisation.(2)"|"2"|"6"|"3"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de fabrication : formes possibles, pr&eacute;cision accessible. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"Pr&eacute;parer un protocole de test et/ou de contr&ocirc;le en fonction des moyens disponibles.(2)"|"2"|"6"|"3"
""|"Contraintes li&eacute;es aux proc&eacute;d&eacute;s et modes de fabrication : formes possibles, pr&eacute;cision accessible. Contraintes li&eacute;es aux proc&eacute;d&eacute;s de contr&ocirc;le et de validation."|"Effectuer un contr&ocirc;le qualit&eacute; de la r&eacute;alisation pour chaque op&eacute;ration importante.(3)"|"3"|"6"|"3"
""|"Processus de r&eacute;alisation (fabrication, assemblage,configuration) d&apos;un objet technique."|"R&eacute;aliser tout ou partie du prototype ou de la maquette d&apos;un objet technique."|"3"|"6"|"3"
""|"Processus de r&eacute;alisation (fabrication, assemblage,configuration) d&apos;un objet technique."|"Compl&eacute;ter ou modifier un planning pour adapter la r&eacute;alisation d&apos;un objet technique en fonction d&apos;al&eacute;as."|"2"|"6"|"3"
